INSERT INTO
bookhasauthor(isbn, authorId)
(1000001374,'26'),
(1000001374,'16'),
(1000001375,'17'),
(1000001375,'3'),
(1000001376,'4'),
(1000001376,'5'),
(1000001377,'18'),
(1000001377,'6'),
(1000001378,'7'),
(1000001378,'19'),
(1000001378,'20'),
(1000001379,'27'),
(1000001379,'8'),
(1000001379,'9'),
(1000001380,'21'),
(1000001380,'22'),
(1000001380,'30'),
(1000001381,'10'),
(1000001381,'28'),
(1000001381,'23'),
(1000001382,'11'),
(1000001382,'12'),
(1000001383,'29'),
(1000001383,'13'),
(1000001384,'14'),
(1000001384,'15'),
(1000001385,'24'),
(1000001386,'25'),
(1000001386,'1'),
(1000001386,'2'),
(1000001387,'26'),
(1000001387,'16'),
(1000001388,'17'),
(1000001389,'3'),
(1000001389,'4'),
(1000001390,'5'),
(1000001390,'18'),
(1000001390,'6'),
(1000001391,'7'),
(1000001391,'19'),
(1000001391,'20'),
(1000001392,'27'),
(1000001392,'8'),
(1000001393,'9'),
(1000001393,'21'),
(1000001394,'22'),
(1000001394,'30'),
(1000001394,'10'),
(1000001395,'28'),
(1000001395,'23'),
(1000001395,'11'),
(1000001396,'12'),
(1000001396,'29'),
(1000001397,'13'),
(1000001397,'14'),
(1000001398,'15'),
(1000001398,'24'),
(1000001398,'25'),
(1000001399,'1'),
(1000001399,'2'),
(1000001400,'26'),
(1000001401,'16'),
(1000001401,'17'),
(1000001401,'3'),
(1000001402,'4'),
(1000001402,'5'),
(1000001403,'18'),
(1000001404,'6'),
(1000001404,'7'),
(1000001404,'19'),
(1000001405,'20'),
(1000001405,'27'),
(1000001406,'8'),
(1000001406,'9'),
(1000001406,'21'),
(1000001407,'22'),
(1000001408,'30'),
(1000001408,'10'),
(1000001409,'28'),
(1000001409,'23'),
(1000001409,'11'),
(1000001410,'12'),
(1000001410,'29'),
(1000001411,'13'),
(1000001411,'14'),
(1000001412,'15'),
(1000001412,'24'),
(1000001413,'25'),
(1000001413,'1'),
(1000001413,'2'),
(1000001414,'26'),
(1000001414,'16'),
(1000001415,'17'),
(1000001415,'3'),
(1000001416,'4'),
(1000001416,'5'),
(1000001416,'18'),
(1000001417,'6'),
(1000001417,'7'),
(1000001418,'19'),
(1000001418,'20'),
(1000001419,'27'),
(1000001419,'8'),
(1000001419,'9'),
(1000001420,'21'),
(1000001420,'22'),
(1000001420,'30'),
(1000001421,'10'),
(1000001422,'28'),
(1000001422,'23'),
(1000001423,'11'),
(1000001424,'12'),
(1000001424,'29'),
(1000001424,'13'),
(1000001425,'14'),
(1000001425,'15'),
(1000001425,'24'),
(1000001426,'25'),
(1000001427,'1'),
(1000001428,'2'),
(1000001428,'26'),
(1000001428,'16'),
(1000001429,'17'),
(1000001429,'3'),
(1000001429,'4'),
(1000001430,'5'),
(1000001430,'18'),
(1000001430,'6'),
(1000001431,'7'),
(1000001431,'19'),
(1000001432,'20'),
(1000001433,'27'),
(1000001433,'8'),
(1000001434,'9'),
(1000001434,'21'),
(1000001434,'22'),
(1000001435,'30'),
(1000001435,'10'),
(1000001435,'28'),
(1000001436,'23'),
(1000001436,'11'),
(1000001436,'12'),
(1000001437,'29'),
(1000001438,'13'),
(1000001438,'14'),
(1000001439,'15'),
(1000001439,'24'),
(1000001440,'25'),
(1000001440,'1'),
(1000001441,'2'),
(1000001441,'26'),
(1000001442,'16'),
(1000001443,'17'),
(1000001443,'3'),
(1000001443,'4'),
(1000001444,'5'),
(1000001444,'18'),
(1000001445,'6'),
(1000001445,'7'),
(1000001446,'19'),
(1000001446,'20'),
(1000001446,'27'),
(1000001447,'8'),
(1000001447,'9'),
(1000001447,'21'),
(1000001448,'22'),
(1000001449,'30'),
(1000001450,'10'),
(1000001450,'28'),
(1000001451,'23'),
(1000001451,'11'),
(1000001452,'12'),
(1000001453,'29'),
(1000001454,'13'),
(1000001454,'14'),
(1000001454,'15'),
(1000001455,'24'),
(1000001456,'25'),
(1000001456,'1'),
(1000001457,'2'),
(1000001458,'26'),
(1000001458,'16'),
(1000001459,'17'),
(1000001459,'3'),
(1000001460,'4'),
(1000001460,'5'),
(1000001461,'18'),
(1000001461,'6'),
(1000001461,'7'),
(1000001462,'19'),
(1000001463,'20'),
(1000001463,'27'),
(1000001463,'8'),
(1000001464,'9'),
(1000001465,'21'),
(1000001465,'22'),
(1000001465,'30'),
(1000001466,'10'),
(1000001467,'28'),
(1000001467,'23'),
(1000001468,'11'),
(1000001469,'12'),
(1000001470,'29'),
(1000001470,'13'),
(1000001470,'14'),
(1000001471,'15'),
(1000001471,'24'),
(1000001471,'25'),
(1000001472,'1'),
(1000001473,'2'),
(1000001473,'26'),
(1000001474,'16'),
(1000001475,'17'),
(1000001475,'3'),
(1000001476,'4'),
(1000001476,'5'),
(1000001477,'18'),
(1000001477,'6'),
(1000001478,'7'),
(1000001478,'19'),
(1000001479,'20'),
(1000001479,'27'),
(1000001479,'8'),
(1000001480,'9'),
(1000001480,'21'),
(1000001481,'22'),
(1000001482,'30'),
(1000001482,'10'),
(1000001483,'28'),
(1000001483,'23'),
(1000001483,'11'),
(1000001484,'12'),
(1000001484,'29'),
(1000001485,'13'),
(1000001486,'14'),
(1000001487,'15'),
(1000001488,'24'),
(1000001488,'25'),
(1000001489,'1'),
(1000001489,'2'),
(1000001489,'26'),
(1000001490,'16'),
(1000001490,'17'),
(1000001491,'3'),
(1000001492,'4'),
(1000001493,'5'),
(1000001493,'18'),
(1000001493,'6'),
(1000001494,'7'),
(1000001495,'19'),
(1000001496,'20'),
(1000001496,'27'),
(1000001496,'8'),
(1000001497,'9'),
(1000001497,'21'),
(1000001497,'22'),
(1000001498,'30'),
(1000001498,'10'),
(1000001498,'28'),
(1000001499,'23'),
(1000001500,'11'),
(1000001500,'12'),
(1000001501,'29'),
(1000001501,'13'),
(1000001502,'14'),
(1000001502,'15'),
(1000001503,'24'),
(1000001504,'25'),
(1000001505,'1'),
(1000001506,'2'),
(1000001506,'26'),
(1000001507,'16'),
(1000001508,'17'),
(1000001509,'3'),
(1000001509,'4'),
(1000001509,'5'),
(1000001510,'18'),
(1000001510,'6'),
(1000001511,'7'),
(1000001511,'19'),
(1000001511,'20'),
(1000001512,'27'),
(1000001512,'8'),
(1000001513,'9'),
(1000001513,'21'),
(1000001514,'22'),
(1000001515,'30'),
(1000001516,'10'),
(1000001516,'28'),
(1000001517,'23'),
(1000001518,'11'),
(1000001519,'12'),
(1000001519,'29'),
(1000001520,'13'),
(1000001521,'14'),
(1000001521,'15'),
(1000001521,'24'),
(1000001522,'25'),
(1000001522,'1'),
(1000001523,'2'),
(1000001523,'26'),
(1000001523,'16'),
(1000001524,'17'),
(1000001524,'3'),
(1000001525,'4'),
(1000001525,'5'),
(1000001525,'18'),
(1000001526,'6'),
(1000001526,'7'),
(1000001527,'19'),
(1000001527,'20'),
(1000001527,'27'),
(1000001528,'8'),
(1000001529,'9'),
(1000001530,'21'),
(1000001531,'22'),
(1000001531,'30'),
(1000001531,'10'),
(1000001532,'28'),
(1000001533,'23'),
(1000001534,'11'),
(1000001535,'12'),
(1000001536,'29'),
(1000001536,'13'),
(1000001537,'14'),
(1000001537,'15'),
(1000001537,'24'),
(1000001538,'25'),
(1000001539,'1'),
(1000001539,'2'),
(1000001539,'26'),
(1000001540,'16'),
(1000001540,'17'),
(1000001540,'3'),
(1000001541,'4'),
(1000001541,'5'),
(1000001542,'18'),
(1000001542,'6'),
(1000001543,'7'),
(1000001543,'19'),
(1000001543,'20'),
(1000001544,'27'),
(1000001545,'8'),
(1000001546,'9'),
(1000001546,'21'),
(1000001547,'22'),
(1000001547,'30'),
(1000001547,'10'),
(1000001548,'28'),
(1000001549,'23'),
(1000001550,'11'),
(1000001551,'12'),
(1000001551,'29'),
(1000001552,'13'),
(1000001552,'14'),
(1000001552,'15'),
(1000001553,'24'),
(1000001554,'25'),
(1000001555,'1'),
(1000001555,'2'),
(1000001555,'26'),
(1000001556,'16'),
(1000001557,'17'),
(1000001557,'3'),
(1000001557,'4'),
(1000001558,'5'),
(1000001558,'18'),
(1000001558,'6'),
(1000001559,'7'),
(1000001559,'19'),
(1000001560,'20'),
(1000001560,'27'),
(1000001561,'8'),
(1000001562,'9'),
(1000001562,'21'),
(1000001563,'22'),
(1000001564,'30'),
(1000001565,'10'),
(1000001565,'28'),
(1000001566,'23'),
(1000001567,'11'),
(1000001567,'12'),
(1000001567,'29'),
(1000001568,'13'),
(1000001568,'14'),
(1000001568,'15'),
(1000001569,'24'),
(1000001569,'25'),
(1000001570,'1'),
(1000001571,'2'),
(1000001572,'26'),
(1000001573,'16'),
(1000001573,'17'),
(1000001574,'3'),
(1000001575,'4'),
(1000001575,'5'),
(1000001576,'18'),
(1000001576,'6'),
(1000001576,'7'),
(1000001577,'19'),
(1000001577,'20'),
(1000001578,'27'),
(1000001578,'8'),
(1000001579,'9'),
(1000001579,'21'),
(1000001579,'22'),
(1000001580,'30'),
(1000001580,'10'),
(1000001580,'28'),
(1000001581,'23'),
(1000001581,'11'),
(1000001581,'12'),
(1000001582,'29'),
(1000001582,'13'),
(1000001583,'14'),
(1000001583,'15'),
(1000001584,'24'),
(1000001585,'25'),
(1000001585,'1'),
(1000001586,'2'),
(1000001586,'26'),
(1000001586,'16'),
(1000001587,'17'),
(1000001587,'3'),
(1000001588,'4'),
(1000001588,'5'),
(1000001589,'18'),
(1000001589,'6'),
(1000001590,'7'),
(1000001590,'19'),
(1000001591,'20'),
(1000001592,'27'),
(1000001592,'8'),
(1000001593,'9'),
(1000001593,'21'),
(1000001593,'22'),
(1000001594,'30'),
(1000001594,'10'),
(1000001594,'28'),
(1000001595,'23'),
(1000001595,'11'),
(1000001595,'12'),
(1000001596,'29'),
(1000001597,'13'),
(1000001597,'14'),
(1000001598,'15'),
(1000001598,'24'),
(1000001598,'25'),
(1000001599,'1'),
(1000001599,'2'),
(1000001599,'26'),
(1000001600,'16'),
(1000001600,'17'),
(1000001601,'3'),
(1000001602,'4'),
(1000001603,'5'),
(1000001603,'18'),
(1000001603,'6'),
(1000001604,'7'),
(1000001604,'19'),
(1000001605,'20'),
(1000001605,'27'),
(1000001605,'8'),
(1000001606,'9'),
(1000001606,'21'),
(1000001606,'22'),
(1000001607,'30'),
(1000001608,'10'),
(1000001608,'28'),
(1000001609,'23'),
(1000001609,'11'),
(1000001609,'12'),
(1000001610,'29'),
(1000001610,'13'),
(1000001610,'14'),
(1000001611,'15'),
(1000001611,'24'),
(1000001612,'25'),
(1000001612,'1'),
(1000001613,'2'),
(1000001613,'26'),
(1000001614,'16'),
(1000001615,'17'),
(1000001616,'3'),
(1000001616,'4'),
(1000001616,'5'),
(1000001617,'18'),
(1000001618,'6'),
(1000001618,'7'),
(1000001619,'19'),
(1000001620,'20'),
(1000001620,'27'),
(1000001621,'8'),
(1000001622,'9'),
(1000001622,'21'),
(1000001622,'22'),
(1000001623,'30'),
(1000001624,'10'),
(1000001624,'28'),
(1000001624,'23'),
(1000001625,'11'),
(1000001625,'12'),
(1000001625,'29'),
(1000001626,'13'),
(1000001626,'14'),
(1000001627,'15'),
(1000001627,'24'),
(1000001627,'25'),
(1000001628,'1'),
(1000001629,'2'),
(1000001629,'26'),
(1000001630,'16'),
(1000001630,'17'),
(1000001631,'3'),
(1000001631,'4'),
(1000001632,'5'),
(1000001633,'18'),
(1000001633,'6'),
(1000001634,'7'),
(1000001635,'19'),
(1000001636,'20'),
(1000001636,'27'),
(1000001636,'8'),
(1000001637,'9'),
(1000001637,'21'),
(1000001638,'22'),
(1000001638,'30'),
(1000001638,'10'),
(1000001639,'28'),
(1000001639,'23'),
(1000001640,'11'),
(1000001640,'12'),
(1000001640,'29'),
(1000001641,'13'),
(1000001641,'14'),
(1000001641,'15'),
(1000001642,'24'),
(1000001642,'25'),
(1000001642,'1'),
(1000001643,'2'),
(1000001643,'26'),
(1000001644,'16'),
(1000001644,'17'),
(1000001644,'3'),
(1000001645,'4'),
(1000001645,'5'),
(1000001646,'18'),
(1000001647,'6'),
(1000001648,'7'),
(1000001648,'19'),
(1000001648,'20'),
(1000001649,'27'),
(1000001649,'8'),
(1000001650,'9'),
(1000001650,'21'),
(1000001651,'22'),
(1000001652,'30'),
(1000001652,'10'),
(1000001652,'28'),
(1000001653,'23'),
(1000001654,'11'),
(1000001655,'12'),
(1000001656,'29'),
(1000001657,'13'),
(1000001658,'14'),
(1000001659,'15'),
(1000001660,'24'),
(1000001661,'25'),
(1000001661,'1'),
(1000001662,'2'),
(1000001663,'26'),
(1000001663,'16'),
(1000001663,'17'),
(1000001664,'3'),
(1000001664,'4'),
(1000001664,'5'),
(1000001665,'18'),
(1000001665,'6'),
(1000001666,'7'),
(1000001666,'19'),
(1000001666,'20'),
(1000001667,'27'),
(1000001667,'8'),
(1000001668,'9'),
(1000001669,'21'),
(1000001669,'22'),
(1000001669,'30'),
(1000001670,'10'),
(1000001670,'28'),
(1000001671,'23'),
(1000001671,'11'),
(1000001671,'12'),
(1000001672,'29'),
(1000001672,'13'),
(1000001672,'14'),
(1000001673,'15'),
(1000001673,'24'),
(1000001673,'25'),
(1000001674,'1'),
(1000001674,'2'),
(1000001674,'26'),
(1000001675,'16'),
(1000001675,'17'),
(1000001676,'3'),
(1000001676,'4'),
(1000001677,'5'),
(1000001677,'18'),
(1000001678,'6'),
(1000001678,'7'),
(1000001679,'19'),
(1000001679,'20'),
(1000001680,'27'),
(1000001681,'8'),
(1000001681,'9'),
(1000001682,'21'),
(1000001682,'22'),
(1000001682,'30'),
(1000001683,'10'),
(1000001683,'28'),
(1000001684,'23'),
(1000001684,'11'),
(1000001685,'12'),
(1000001685,'29'),
(1000001685,'13'),
(1000001686,'14'),
(1000001686,'15'),
(1000001686,'24'),
(1000001687,'25'),
(1000001687,'1'),
(1000001687,'2'),
(1000001688,'26'),
(1000001689,'16'),
(1000001690,'17'),
(1000001691,'3'),
(1000001692,'4'),
(1000001692,'5'),
(1000001692,'18'),
(1000001693,'6'),
(1000001694,'7'),
(1000001695,'19'),
(1000001696,'20'),
(1000001696,'27'),
(1000001697,'8'),
(1000001697,'9'),
(1000001697,'21'),
(1000001698,'22'),
(1000001698,'30'),
(1000001699,'10'),
(1000001699,'28'),
(1000001699,'23'),
(1000001700,'11'),
(1000001700,'12'),
(1000001701,'29'),
(1000001701,'13'),
(1000001702,'14'),
(1000001702,'15'),
(1000001703,'24'),
(1000001703,'25'),
(1000001704,'1'),
(1000001704,'2'),
(1000001704,'26'),
(1000001705,'16'),
(1000001705,'17'),
(1000001705,'3'),
(1000001706,'4'),
(1000001707,'5'),
(1000001708,'18'),
(1000001709,'6'),
(1000001710,'7'),
(1000001710,'19'),
(1000001710,'20'),
(1000001711,'27'),
(1000001712,'8'),
(1000001712,'9'),
(1000001713,'21'),
(1000001713,'22'),
(1000001714,'30'),
(1000001715,'10'),
(1000001715,'28'),
(1000001716,'23'),
(1000001716,'11'),
(1000001716,'12'),
(1000001717,'29'),
(1000001717,'13'),
(1000001717,'14'),
(1000001718,'15'),
(1000001718,'24'),
(1000001718,'25'),
(1000001719,'1'),
(1000001720,'2'),
(1000001720,'26'),
(1000001720,'16'),
(1000001721,'17'),
(1000001721,'3'),
(1000001721,'4'),
(1000001722,'5'),
(1000001722,'18'),
(1000001722,'6'),
(1000001723,'7'),
(1000001723,'19'),
(1000001723,'20'),
(1000001724,'27'),
(1000001724,'8'),
(1000001724,'9'),
(1000001725,'21'),
(1000001726,'22'),
(1000001726,'30'),
(1000001727,'10'),
(1000001727,'28'),
(1000001728,'23'),
(1000001728,'11'),
(1000001729,'12'),
(1000001729,'29'),
(1000001729,'13'),
(1000001730,'14'),
(1000001730,'15'),
(1000001730,'24'),
(1000001731,'25'),
(1000001731,'1'),
(1000001732,'2'),
(1000001732,'26'),
(1000001732,'16'),
(1000001733,'17'),
(1000001733,'3'),
(1000001733,'4'),
(1000001734,'5'),
(1000001734,'18'),
(1000001735,'6'),
(1000001735,'7'),
(1000001736,'19'),
(1000001736,'20'),
(1000001737,'27'),
(1000001737,'8'),
(1000001738,'9'),
(1000001739,'21'),
(1000001739,'22'),
(1000001740,'30'),
(1000001740,'10'),
(1000001741,'28'),
(1000001742,'23'),
(1000001742,'11'),
(1000001742,'12'),
(1000001743,'29'),
(1000001743,'13'),
(1000001744,'14'),
(1000001744,'15'),
(1000001744,'24'),
(1000001745,'25'),
(1000001745,'1'),
(1000001746,'2'),
(1000001746,'26'),
(1000001746,'16'),
(1000001747,'17'),
(1000001748,'3'),
(1000001748,'4'),
(1000001749,'5'),
(1000001750,'18'),
(1000001751,'6'),
(1000001752,'7'),
(1000001753,'19'),
(1000001753,'20'),
(1000001754,'27'),
(1000001754,'8'),
(1000001754,'9'),
(1000001755,'21'),
(1000001756,'22'),
(1000001756,'30'),
(1000001757,'10'),
(1000001757,'28'),
(1000001757,'23'),
(1000001758,'11'),
(1000001758,'12'),
(1000001758,'29'),
(1000001759,'13'),
(1000001759,'14'),
(1000001759,'15'),
(1000001760,'24'),
(1000001760,'25'),
(1000001760,'1'),
(1000001761,'2'),
(1000001761,'26'),
(1000001762,'16'),
(1000001762,'17'),
(1000001762,'3'),
(1000001763,'4'),
(1000001763,'5'),
(1000001764,'18'),
(1000001764,'6'),
(1000001765,'7'),
(1000001765,'19'),
(1000001766,'20'),
(1000001766,'27'),
(1000001766,'8'),
(1000001767,'9'),
(1000001767,'21'),
(1000001768,'22'),
(1000001769,'30'),
(1000001769,'10'),
(1000001769,'28'),
(1000001770,'23'),
(1000001770,'11'),
(1000001771,'12'),
(1000001772,'29'),
(1000001773,'13'),
(1000001773,'14'),
(1000001774,'15'),
(1000001775,'24'),
(1000001775,'25'),
(1000001775,'1'),
(1000001776,'2'),
(1000001777,'26'),
(1000001777,'16'),
(1000001778,'17'),
(1000001778,'3'),
(1000001778,'4'),
(1000001779,'5'),
(1000001780,'18'),
(1000001780,'6'),
(1000001781,'7'),
(1000001782,'19'),
(1000001782,'20'),
(1000001783,'27'),
(1000001783,'8'),
(1000001784,'9'),
(1000001785,'21'),
(1000001785,'22'),
(1000001786,'30'),
(1000001786,'10'),
(1000001787,'28'),
(1000001787,'23'),
(1000001787,'11'),
(1000001788,'12'),
(1000001789,'29'),
(1000001789,'13'),
(1000001789,'14'),
(1000001790,'15'),
(1000001790,'24'),
(1000001790,'25'),
(1000001791,'1'),
(1000001792,'2'),
(1000001793,'26'),
(1000001793,'16'),
(1000001793,'17'),
(1000001794,'3'),
(1000001795,'4'),
(1000001796,'5'),
(1000001797,'18'),
(1000001797,'6'),
(1000001798,'7'),
(1000001798,'19'),
(1000001798,'20'),
(1000001799,'27'),
(1000001799,'8'),
(1000001800,'9'),
(1000001800,'21'),
(1000001800,'22'),
(1000001801,'30'),
(1000001802,'10'),
(1000001802,'28'),
(1000001802,'23'),
(1000001803,'11'),
(1000001803,'12'),
(1000001803,'29'),
(1000001804,'13'),
(1000001804,'14'),
(1000001804,'15'),
(1000001805,'24'),
(1000001806,'25'),
(1000001807,'1'),
(1000001807,'2'),
(1000001807,'26'),
(1000001808,'16'),
(1000001808,'17'),
(1000001808,'3'),
(1000001809,'4'),
(1000001809,'5'),
(1000001809,'18'),
(1000001810,'6'),
(1000001810,'7'),
(1000001811,'19'),
(1000001811,'20'),
(1000001811,'27'),
(1000001812,'8'),
(1000001812,'9'),
(1000001812,'21'),
(1000001813,'22'),
(1000001813,'30'),
(1000001813,'10'),
(1000001814,'28'),
(1000001814,'23'),
(1000001815,'11'),
(1000001815,'12'),
(1000001816,'29'),
(1000001816,'13'),
(1000001816,'14'),
(1000001817,'15'),
(1000001818,'24'),
(1000001818,'25'),
(1000001818,'1'),
(1000001819,'2'),
(1000001819,'26'),
(1000001820,'16'),
(1000001820,'17'),
(1000001820,'3'),
(1000001821,'4'),
(1000001821,'5'),
(1000001821,'18'),
(1000001822,'6'),
(1000001822,'7'),
(1000001822,'19'),
(1000001823,'20'),
(1000001823,'27'),
(1000001824,'8'),
(1000001824,'9'),
(1000001825,'21'),
(1000001825,'22'),
(1000001825,'30'),
(1000001826,'10'),
(1000001827,'28'),
(1000001827,'23'),
(1000001827,'11'),
(1000001828,'12'),
(1000001829,'29'),
(1000001829,'13'),
(1000001830,'14'),
(1000001830,'15'),
(1000001831,'24'),
(1000001832,'25'),
(1000001833,'1'),
(1000001834,'2'),
(1000001834,'26'),
(1000001834,'16'),
(1000001835,'17'),
(1000001835,'3'),
(1000001835,'4'),
(1000001836,'5'),
(1000001837,'18'),
(1000001837,'6'),
(1000001837,'7'),
(1000001838,'19'),
(1000001838,'20'),
(1000001839,'27'),
(1000001840,'8'),
(1000001840,'9'),
(1000001840,'21'),
(1000001841,'22'),
(1000001841,'30'),
(1000001842,'10'),
(1000001842,'28'),
(1000001842,'23'),
(1000001843,'11'),
(1000001844,'12'),
(1000001845,'29'),
(1000001845,'13'),
(1000001845,'14'),
(1000001846,'15'),
(1000001846,'24'),
(1000001847,'25'),
(1000001847,'1'),
(1000001847,'2'),
(1000001848,'26'),
(1000001848,'16'),
(1000001848,'17'),
(1000001849,'3'),
(1000001849,'4'),
(1000001849,'5'),
(1000001850,'18'),
(1000001850,'6'),
(1000001851,'7'),
(1000001852,'19'),
(1000001853,'20'),
(1000001854,'27'),
(1000001854,'8'),
(1000001854,'9'),
(1000001855,'21'),
(1000001855,'22'),
(1000001856,'30'),
(1000001856,'10'),
(1000001856,'28'),
(1000001857,'23'),
(1000001857,'11'),
(1000001857,'12'),
(1000001858,'29'),
(1000001858,'13'),
(1000001858,'14'),
(1000001859,'15'),
(1000001859,'24'),
(1000001860,'25'),
(1000001860,'1'),
(1000001861,'2'),
(1000001862,'26'),
(1000001862,'16'),
(1000001862,'17'),
(1000001863,'3'),
(1000001864,'4'),
(1000001864,'5'),
(1000001865,'18'),
(1000001865,'6'),
(1000001865,'7'),
(1000001866,'19'),
(1000001866,'20'),
(1000001867,'27'),
(1000001867,'8'),
(1000001868,'9'),
(1000001869,'21'),
(1000001869,'22'),
(1000001869,'30'),
(1000001870,'10'),
(1000001870,'28'),
(1000001871,'23'),
(1000001871,'11'),
(1000001872,'12'),
(1000001872,'29'),
(1000001873,'13'),
(1000001873,'14'),
(1000001873,'15'),
(1000001874,'24'),
(1000001875,'25'),
(1000001875,'1'),
(1000001875,'2'),
(1000001876,'26'),
(1000001877,'16'),
(1000001878,'17'),
(1000001878,'3'),
(1000001879,'4'),
(1000001879,'5'),
(1000001880,'18'),
(1000001880,'6'),
(1000001880,'7'),
(1000001881,'19'),
(1000001881,'20'),
(1000001881,'27'),
(1000001882,'8'),
(1000001882,'9'),
(1000001883,'21'),
(1000001883,'22'),
(1000001883,'30'),
(1000001884,'10'),
(1000001885,'28'),
(1000001885,'23'),
(1000001885,'11'),
(1000001886,'12'),
(1000001886,'29'),
(1000001886,'13'),
(1000001887,'14'),
(1000001887,'15'),
(1000001888,'24'),
(1000001888,'25'),
(1000001889,'1'),
(1000001889,'2'),
(1000001889,'26'),
(1000001890,'16'),
(1000001890,'17'),
(1000001891,'3'),
(1000001892,'4'),
(1000001892,'5'),
(1000001893,'18'),
(1000001893,'6'),
(1000001894,'7'),
(1000001894,'19'),
(1000001894,'20'),
(1000001895,'27'),
(1000001895,'8'),
(1000001896,'9'),
(1000001896,'21'),
(1000001897,'22'),
(1000001897,'30'),
(1000001897,'10'),
(1000001898,'28'),
(1000001898,'23'),
(1000001899,'11'),
(1000001899,'12'),
(1000001899,'29'),
(1000001900,'13'),
(1000001900,'14'),
(1000001901,'15'),
(1000001902,'24'),
(1000001902,'25'),
(1000001903,'1'),
(1000001904,'2'),
(1000001904,'26'),
(1000001904,'16'),
(1000001905,'17'),
(1000001906,'3'),
(1000001907,'4'),
(1000001907,'5'),
(1000001908,'18'),
(1000001908,'6'),
(1000001909,'7'),
(1000001910,'19'),
(1000001910,'20'),
(1000001911,'27'),
(1000001911,'8'),
(1000001912,'9'),
(1000001912,'21'),
(1000001912,'22'),
(1000001913,'30'),
(1000001914,'10'),
(1000001914,'28'),
(1000001915,'23'),
(1000001915,'11'),
(1000001915,'12'),
(1000001916,'29'),
(1000001916,'13'),
(1000001917,'14'),
(1000001917,'15'),
(1000001917,'24'),
(1000001918,'25'),
(1000001918,'1'),
(1000001918,'2'),
(1000001919,'26'),
(1000001919,'16'),
(1000001919,'17'),
(1000001920,'3'),
(1000001920,'4'),
(1000001921,'5'),
(1000001921,'18'),
(1000001921,'6'),
(1000001922,'7'),
(1000001922,'19'),
(1000001922,'20'),
(1000001923,'27'),
(1000001924,'8'),
(1000001925,'9'),
(1000001925,'21'),
(1000001925,'22'),
(1000001926,'30'),
(1000001926,'10'),
(1000001927,'28'),
(1000001927,'23'),
(1000001927,'11'),
(1000001928,'12'),
(1000001928,'29'),
(1000001929,'13'),
(1000001929,'14'),
(1000001930,'15'),
(1000001930,'24'),
(1000001931,'25'),
(1000001932,'1'),
(1000001932,'2'),
(1000001932,'26'),
(1000001933,'16'),
(1000001933,'17'),
(1000001933,'3'),
(1000001934,'4'),
(1000001934,'5'),
(1000001934,'18'),
(1000001935,'6'),
(1000001935,'7'),
(1000001936,'19'),
(1000001936,'20'),
(1000001937,'27'),
(1000001937,'8'),
(1000001937,'9'),
(1000001938,'21'),
(1000001939,'22'),
(1000001939,'30'),
(1000001939,'10'),
(1000001940,'28'),
(1000001941,'23'),
(1000001942,'11'),
(1000001942,'12'),
(1000001943,'29'),
(1000001943,'13'),
(1000001943,'14'),
(1000001944,'15'),
(1000001945,'24'),
(1000001945,'25'),
(1000001945,'1'),
(1000001946,'2'),
(1000001947,'26'),
(1000001947,'16'),
(1000001947,'17'),
(1000001948,'3'),
(1000001948,'4'),
(1000001948,'5'),
(1000001949,'18'),
(1000001949,'6'),
(1000001950,'7'),
(1000001951,'19'),
(1000001951,'20'),
(1000001952,'27'),
(1000001952,'8'),
(1000001953,'9'),
(1000001953,'21'),
(1000001954,'22'),
(1000001955,'30'),
(1000001955,'10'),
(1000001956,'28'),
(1000001957,'23'),
(1000001957,'11'),
(1000001957,'12'),
(1000001958,'29'),
(1000001959,'13'),
(1000001960,'14'),
(1000001961,'15'),
(1000001961,'24'),
(1000001961,'25'),
(1000001962,'1'),
(1000001962,'2'),
(1000001962,'26'),
(1000001963,'16'),
(1000001964,'17'),
(1000001964,'3'),
(1000001964,'4'),
(1000001965,'5'),
(1000001966,'18'),
(1000001966,'6'),
(1000001967,'7'),
(1000001968,'19'),
(1000001968,'20'),
(1000001969,'27'),
(1000001969,'8'),
(1000001970,'9'),
(1000001971,'21'),
(1000001971,'22'),
(1000001972,'30'),
(1000001972,'10'),
(1000001972,'28'),
(1000001973,'23'),
(1000001973,'11'),
(1000001974,'12'),
(1000001974,'29'),
(1000001974,'13'),
(1000001975,'14'),
(1000001975,'15'),
(1000001976,'24'),
(1000001977,'25'),
(1000001978,'1'),
(1000001979,'2'),
(1000001979,'26'),
(1000001980,'16'),
(1000001980,'17'),
(1000001980,'3'),
(1000001981,'4'),
(1000001981,'5'),
(1000001981,'18'),
(1000001982,'6'),
(1000001983,'7'),
(1000001984,'19'),
(1000001985,'20'),
(1000001985,'27'),
(1000001986,'8'),
(1000001986,'9'),
(1000001986,'21'),
(1000001987,'22'),
(1000001987,'30'),
(1000001987,'10'),
(1000001988,'28'),
(1000001988,'23'),
(1000001988,'11'),
(1000001989,'12'),
(1000001989,'29'),
(1000001990,'13'),
(1000001991,'14'),
(1000001992,'15'),
(1000001992,'24'),
(1000001993,'25'),
(1000001993,'1'),
(1000001993,'2'),
(1000001994,'26'),
(1000001994,'16'),
(1000001995,'17'),
(1000001996,'3'),
(1000001996,'4'),
(1000001996,'5'),
(1000001997,'18'),
(1000001997,'6'),
(1000001998,'7'),
(1000001998,'19'),
